127.0.0.1 - - [29/Oct/2021:09:48:56 +0900] "GET / HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Oct/2021:09:49:19 +0900] "GET /list HTTP/1.1" 200 642
0:0:0:0:0:0:0:1 - - [29/Oct/2021:09:49:20 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Oct/2021:10:29:56 +0900] "GET /list HTTP/1.1" 500 19074
0:0:0:0:0:0:0:1 - - [29/Oct/2021:10:29:56 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Oct/2021:10:31:39 +0900] "GET /list HTTP/1.1" 200 643
0:0:0:0:0:0:0:1 - - [29/Oct/2021:10:31:39 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Oct/2021:10:45:48 +0900] "GET /list HTTP/1.1" 200 734
0:0:0:0:0:0:0:1 - - [29/Oct/2021:10:45:48 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Oct/2021:10:45:57 +0900] "GET /list HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [29/Oct/2021:10:45:57 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Oct/2021:10:46:00 +0900] "GET /list?keyword=%EA%B2%80%EC%83%89 HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [29/Oct/2021:10:48:38 +0900] "GET /list?keyword=%EA%B2%80%EC%83%89 HTTP/1.1" 500 11472
0:0:0:0:0:0:0:1 - - [29/Oct/2021:10:48:38 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Oct/2021:10:49:24 +0900] "GET /list?keyword=%EA%B2%80%EC%83%89 HTTP/1.1" 500 11392
0:0:0:0:0:0:0:1 - - [29/Oct/2021:10:49:24 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Oct/2021:10:49:57 +0900] "GET /list?keyword=%EA%B2%80%EC%83%89 HTTP/1.1" 500 11382
0:0:0:0:0:0:0:1 - - [29/Oct/2021:10:49:57 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Oct/2021:11:01:43 +0900] "GET /list? HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [29/Oct/2021:11:01:48 +0900] "GET /list?keyword=%ED%83%9C%EC%96%91 HTTP/1.1" 500 11382
0:0:0:0:0:0:0:1 - - [29/Oct/2021:11:04:14 +0900] "GET /list?keyword=%ED%83%9C%EC%96%91 HTTP/1.1" 500 11353
0:0:0:0:0:0:0:1 - - [29/Oct/2021:11:04:15 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Oct/2021:11:04:27 +0900] "GET /list?keyword=%ED%83%9C%EC%96%91 HTTP/1.1" 500 11353
